feature,imp
num_vec_sc_0,0.15684902704316273
DIAG1_oh_I200,0.05246235948246243
DIAG1_oh_I802,0.0376460555490973
DIAG1_oh_I609,0.03574160452065297
"PERTENENCIA_ESTABLECIMIENTO_SALUD_oh_No Pertenecientes al Sistema Nacional de Servicios de Salud, SNSS",0.034513993501795286
DIAG1_oh_I839,0.030453970810277276
DIAG1_oh_I619,0.027656642198049957
GRUPO_EDAD_oh_70 a 79,0.02725671081393449
DIAG1_oh_I489,0.024658011992269094
DIAG1_oh_I618,0.02129960134963577
DIAG1_oh_I480,0.019968671394974883
DIAG1_oh_I10X,0.019678884716327616
DIAG1_oh_I330,0.01924853626270523
DIAG1_oh_I629,0.017843911333201977
DIAG1_oh_I671,0.01732948339102979
DIAG1_oh_I64X,0.016982442135940298
GRUPO_EDAD_oh_80 a 89,0.016672648506644162
DIAG1_oh_I612,0.016617618925531014
GRUPO_EDAD_oh_90 y más,0.015950632870130925
GRUPO_EDAD_oh_50 a 59,0.015783838868676847
